Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Gene names  (ordered locus )
A0A0M0JNX0	A0A0M0JNX0_9EUKA	unreviewed	Uncharacterized protein	Ctob_010910	Chrysochromulina tobinii	101						
A0A0M0J942	A0A0M0J942_9EUKA	unreviewed	Uncharacterized protein	Ctob_003082	Chrysochromulina tobinii	223						
A0A0M0JZ67	A0A0M0JZ67_9EUKA	unreviewed	Leukocyte receptor cluster member	Ctob_008496	Chrysochromulina tobinii	360						
A0A0M0JIL3	A0A0M0JIL3_9EUKA	unreviewed	Uncharacterized protein	Ctob_009366	Chrysochromulina tobinii	826						
A0A0M0JAR3	A0A0M0JAR3_9EUKA	unreviewed	Ef-hand calcium-binding domain-containing protein 6-like protein (Fragment)	Ctob_004073	Chrysochromulina tobinii	337			calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509	
A0A0M0JX21	A0A0M0JX21_9EUKA	unreviewed	Uncharacterized protein	Ctob_009660	Chrysochromulina tobinii	256						
A0A0M0JS49	A0A0M0JS49_9EUKA	unreviewed	XendoU domain-containing protein	Ctob_007136	Chrysochromulina tobinii	182			endoribonuclease activity [GO:0004521]	endoribonuclease activity [GO:0004521]	GO:0004521	
A0A0M0J6A5	A0A0M0J6A5_9EUKA	unreviewed	Glutamine synthetase type iii domain-containing protein	Ctob_002082	Chrysochromulina tobinii	720	nitrogen compound metabolic process [GO:0006807]		glutamate-ammonia ligase activity [GO:0004356]; nitrogen compound metabolic process [GO:0006807]	glutamate-ammonia ligase activity [GO:0004356]	GO:0004356; GO:0006807	
A0A0M0JTX8	A0A0M0JTX8_9EUKA	unreviewed	Uncharacterized protein	Ctob_000883	Chrysochromulina tobinii	254		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0K0T9	A0A0M0K0T9_9EUKA	unreviewed	Glycosyltransferase family 77 protein	Ctob_007439	Chrysochromulina tobinii	252			transferase activity [GO:0016740]	transferase activity [GO:0016740]	GO:0016740	
A0A0M0JIZ7	A0A0M0JIZ7_9EUKA	unreviewed	NADPh--cytochrome p450 reductase-like protein	Ctob_012584	Chrysochromulina tobinii	681			FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	GO:0010181; GO:0016491	
A0A0M0K3W0	A0A0M0K3W0_9EUKA	unreviewed	Ring finger protein 5	Ctob_009730	Chrysochromulina tobinii	70		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0016021; GO:0046872	
A0A0M0KBK6	A0A0M0KBK6_9EUKA	unreviewed	Calcium calmodulin-dependent protein kinase type iv	Ctob_011489	Chrysochromulina tobinii	361			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
A0A0M0K208	A0A0M0K208_9EUKA	unreviewed	Uncharacterized protein	Ctob_009273	Chrysochromulina tobinii	359						
A0A0M0J3R5	A0A0M0J3R5_9EUKA	unreviewed	Cyanophycinase-like protein	Ctob_004936	Chrysochromulina tobinii	744			serine-type peptidase activity [GO:0008236]	serine-type peptidase activity [GO:0008236]	GO:0008236	
A0A0M0J6B9	A0A0M0J6B9_9EUKA	unreviewed	Poly(ADP-ribose) glycohydrolase (EC 3.2.1.143)	Ctob_001142	Chrysochromulina tobinii	532	carbohydrate metabolic process [GO:0005975]		poly(ADP-ribose) glycohydrolase activity [GO:0004649]; carbohydrate metabolic process [GO:0005975]	poly(ADP-ribose) glycohydrolase activity [GO:0004649]	GO:0004649; GO:0005975	
A0A0M0J4G0	A0A0M0J4G0_9EUKA	unreviewed	Agc family protein kinase	Ctob_007519	Chrysochromulina tobinii	1057			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
A0A0M0J7K2	A0A0M0J7K2_9EUKA	unreviewed	Dynein intermediate chain axonemal	Ctob_000743	Chrysochromulina tobinii	290						
A0A0M0LS51	A0A0M0LS51_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_016349	Chrysochromulina tobinii	352						
A0A0M0JDB9	A0A0M0JDB9_9EUKA	unreviewed	Uncharacterized protein	Ctob_007074	Chrysochromulina tobinii	427						
A0A0M0JTG2	A0A0M0JTG2_9EUKA	unreviewed	Uncharacterized protein	Ctob_006726	Chrysochromulina tobinii	206						
A0A0M0K8T2	A0A0M0K8T2_9EUKA	unreviewed	Uncharacterized protein	Ctob_014202	Chrysochromulina tobinii	211						
A0A0M0LQ26	A0A0M0LQ26_9EUKA	unreviewed	Uncharacterized protein	Ctob_013083	Chrysochromulina tobinii	92						
A0A0M0JJ16	A0A0M0JJ16_9EUKA	unreviewed	Putative beta-d-xylosidase 6-like protein	Ctob_009115	Chrysochromulina tobinii	581	carbohydrate metabolic process [GO:0005975]		hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	GO:0004553; GO:0005975	
A0A0M0J6W3	A0A0M0J6W3_9EUKA	unreviewed	Phosphoglycerate dehydrogenase	Ctob_002311	Chrysochromulina tobinii	348			NAD binding [GO:0051287]	NAD binding [GO:0051287]	GO:0051287	
A0A0M0JE08	A0A0M0JE08_9EUKA	unreviewed	Uncharacterized protein	Ctob_005533	Chrysochromulina tobinii	286						
A0A0M0K440	A0A0M0K440_9EUKA	unreviewed	Uncharacterized protein	Ctob_014056	Chrysochromulina tobinii	625						
A0A0M0JCZ0	A0A0M0JCZ0_9EUKA	unreviewed	Uncharacterized protein	Ctob_004106	Chrysochromulina tobinii	431						
A0A0M0JI24	A0A0M0JI24_9EUKA	unreviewed	Uncharacterized protein	Ctob_008308	Chrysochromulina tobinii	70						
A0A0M0JY89	A0A0M0JY89_9EUKA	unreviewed	Uncharacterized protein	Ctob_011225	Chrysochromulina tobinii	351						
A0A0M0K5V1	A0A0M0K5V1_9EUKA	unreviewed	30s ribosomal protein s5	Ctob_014458	Chrysochromulina tobinii	393	translation [GO:0006412]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0003723; GO:0003735; GO:0005840; GO:0006412; GO:1990904	
A0A0M0J401	A0A0M0J401_9EUKA	unreviewed	Wd40 repeat-containing protein	Ctob_002175	Chrysochromulina tobinii	936	chromatin organization [GO:0006325]; DNA replication [GO:0006260]	chromosome, telomeric region [GO:0000781]; kinetochore [GO:0000776]; microtubule organizing center [GO:0005815]	chromosome, telomeric region [GO:0000781]; kinetochore [GO:0000776]; microtubule organizing center [GO:0005815]; chromatin organization [GO:0006325]; DNA replication [GO:0006260]		GO:0000776; GO:0000781; GO:0005815; GO:0006260; GO:0006325	
A0A0M0JF13	A0A0M0JF13_9EUKA	unreviewed	Uncharacterized protein	Ctob_010704	Chrysochromulina tobinii	379		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0JE25	A0A0M0JE25_9EUKA	unreviewed	Uncharacterized protein	Ctob_003208	Chrysochromulina tobinii	220						
A0A0M0LQQ9	A0A0M0LQQ9_9EUKA	unreviewed	Polyhydroxybutyrate depolymerase	Ctob_015318	Chrysochromulina tobinii	396		extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0005576; GO:0016021; GO:0016787	
A0A0M0K7D2	A0A0M0K7D2_9EUKA	unreviewed	Uncharacterized protein	Ctob_011562	Chrysochromulina tobinii	151		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0K1Y6	A0A0M0K1Y6_9EUKA	unreviewed	Uncharacterized protein	Ctob_015431	Chrysochromulina tobinii	812			DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700	
A0A0M0J585	A0A0M0J585_9EUKA	unreviewed	Uncharacterized protein	Ctob_002825	Chrysochromulina tobinii	136						
A0A0M0JQX0	A0A0M0JQX0_9EUKA	unreviewed	Uncharacterized protein	Ctob_005327	Chrysochromulina tobinii	228						
A0A0M0K2Z7	A0A0M0K2Z7_9EUKA	unreviewed	Serine threonine-protein kinase 3	Ctob_009143	Chrysochromulina tobinii	554		plastid [GO:0009536]	plastid [GO:0009536]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0009536	
A0A0M0K9D5	A0A0M0K9D5_9EUKA	unreviewed	Uncharacterized protein	Ctob_012239	Chrysochromulina tobinii	543						
A0A0M0JTG8	A0A0M0JTG8_9EUKA	unreviewed	Uncharacterized protein	Ctob_013503	Chrysochromulina tobinii	244						
A0A0M0JF41	A0A0M0JF41_9EUKA	unreviewed	Uncharacterized protein	Ctob_005396	Chrysochromulina tobinii	578						
A0A0M0JE78	A0A0M0JE78_9EUKA	unreviewed	Uncharacterized protein	Ctob_006029	Chrysochromulina tobinii	571						
A0A0M0JIT8	A0A0M0JIT8_9EUKA	unreviewed	DUF5672 domain-containing protein	Ctob_004552	Chrysochromulina tobinii	303						
A0A0M0JS32	A0A0M0JS32_9EUKA	unreviewed	Uncharacterized protein	Ctob_008857	Chrysochromulina tobinii	885						
A0A0M0LPX2	A0A0M0LPX2_9EUKA	unreviewed	Lipoprotein (Fragment)	Ctob_016675	Chrysochromulina tobinii	742						
A0A0M0JCK2	A0A0M0JCK2_9EUKA	unreviewed	Protein-serine/threonine kinase (EC 2.7.11.-)	Ctob_003278	Chrysochromulina tobinii	225		mitochondrial matrix [GO:0005759]	mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0005759	
A0A0M0JFY5	A0A0M0JFY5_9EUKA	unreviewed	Ribos_L4_asso_C domain-containing protein	Ctob_009248	Chrysochromulina tobinii	372	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412	
A0A0M0J4U0	A0A0M0J4U0_9EUKA	unreviewed	Acetyltransferase	Ctob_000964	Chrysochromulina tobinii	592			N-acetyltransferase activity [GO:0008080]	N-acetyltransferase activity [GO:0008080]	GO:0008080	
A0A0M0J4L1	A0A0M0J4L1_9EUKA	unreviewed	Uncharacterized protein	Ctob_000098	Chrysochromulina tobinii	136						
A0A0M0JC57	A0A0M0JC57_9EUKA	unreviewed	Phosphoglycerate mutase	Ctob_009667	Chrysochromulina tobinii	707	glycolytic process [GO:0006096]		phosphoglycerate mutase activity [GO:0004619]; glycolytic process [GO:0006096]	phosphoglycerate mutase activity [GO:0004619]	GO:0004619; GO:0006096	
A0A0M0JMV2	A0A0M0JMV2_9EUKA	unreviewed	Uncharacterized protein	Ctob_001227	Chrysochromulina tobinii	1358			phosphatidylinositol binding [GO:0035091]	phosphatidylinositol binding [GO:0035091]	GO:0035091	
A0A0M0J9R4	A0A0M0J9R4_9EUKA	unreviewed	Uncharacterized protein	Ctob_002838	Chrysochromulina tobinii	321						
A0A0M0K521	A0A0M0K521_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_010057	Chrysochromulina tobinii	216			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491	
A0A0M0K7D1	A0A0M0K7D1_9EUKA	unreviewed	Translation initiation factor eif-2b epsilon	Ctob_010518	Chrysochromulina tobinii	638			guanyl-nucleotide exchange factor activity [GO:0005085]; nucleotidyltransferase activity [GO:0016779]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	guanyl-nucleotide exchange factor activity [GO:0005085]; nucleotidyltransferase activity [GO:0016779]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	GO:0003743; GO:0005085; GO:0016779; GO:0031369	
A0A0M0JPA8	A0A0M0JPA8_9EUKA	unreviewed	Uncharacterized protein	Ctob_012015	Chrysochromulina tobinii	386		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0JYZ9	A0A0M0JYZ9_9EUKA	unreviewed	Polyketide synthase (Fragment)	Ctob_016596	Chrysochromulina tobinii	419	fatty acid biosynthetic process [GO:0006633]		3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid biosynthetic process [GO:0006633]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]	GO:0004315; GO:0006633	
A0A0M0JPH9	A0A0M0JPH9_9EUKA	unreviewed	Leucine rich repeat containing 45-like protein	Ctob_010252	Chrysochromulina tobinii	226			calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509	
A0A0M0JYD6	A0A0M0JYD6_9EUKA	unreviewed	Uncharacterized protein (Fragment)	Ctob_007104	Chrysochromulina tobinii	158						
A0A0M0K399	A0A0M0K399_9EUKA	unreviewed	Chromo domain-containing protein (Fragment)	Ctob_015992	Chrysochromulina tobinii	1318						
A0A0M0LS19	A0A0M0LS19_9EUKA	unreviewed	RNA sigma 70 subfamily	Ctob_012899	Chrysochromulina tobinii	346	DNA-templated transcription, initiation [GO:0006352]		DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]	GO:0003677; GO:0006352; GO:0016987	
A0A0M0K2N3	A0A0M0K2N3_9EUKA	unreviewed	Uncharacterized protein	Ctob_008102	Chrysochromulina tobinii	89						
A0A0M0JTN8	A0A0M0JTN8_9EUKA	unreviewed	Variable surface lipoprotein	Ctob_012480	Chrysochromulina tobinii	121						
A0A0M0LR29	A0A0M0LR29_9EUKA	unreviewed	Uncharacterized protein	Ctob_014783	Chrysochromulina tobinii	574		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
A0A0M0JMH7	A0A0M0JMH7_9EUKA	unreviewed	Uncharacterized protein	Ctob_013755	Chrysochromulina tobinii	620		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	
